label,pattern,attr,replace,freq
first_name,Jaycub,lower,,101
first_name,Jaysie,lower,,101
first_name,Jekhi,lower,,101
first_name,Jennylee,lower,,101
first_name,Jessikah,lower,,101
first_name,Jimeka,lower,,101
first_name,Jonathin,lower,,101
first_name,Jora,lower,,101
first_name,Journiee,lower,,101
first_name,Jshon,lower,,101
first_name,Kaian,lower,,101
first_name,Kairen,lower,,101
first_name,Kearie,lower,,101
first_name,Keyah,lower,,101
first_name,Khalie,lower,,101
first_name,Kinser,lower,,101
first_name,Klayten,lower,,101
first_name,Korianna,lower,,101
first_name,Kseniya,lower,,101
first_name,Lacharles,lower,,101
first_name,Larren,lower,,101
first_name,Lekha,lower,,101
first_name,Leyan,lower,,101
first_name,Locklan,lower,,101
first_name,Ludwika,lower,,101
first_name,Lylith,lower,,101
first_name,Lynore,lower,,101
first_name,Maitlyn,lower,,101
first_name,Malahki,lower,,101
first_name,Malosi,lower,,101
first_name,Maneh,lower,,101
first_name,Maricsa,lower,,101
first_name,Maripat,lower,,101
first_name,Marjarie,lower,,101
first_name,Martita,lower,,101
first_name,Massey,lower,,101
first_name,Matelyn,lower,,101
first_name,Maysun,lower,,101
first_name,Mellina,lower,,101
first_name,Merve,lower,,101
first_name,Mikisha,lower,,101
first_name,Mycheal,lower,,101
first_name,Mylisa,lower,,101
first_name,Myosha,lower,,101
first_name,Najir,lower,,101
first_name,Nester,lower,,101
first_name,Nicolemarie,lower,,101
first_name,Niyonna,lower,,101
first_name,Onaje,lower,,101
first_name,Orphia,lower,,101
first_name,Pammie,lower,,101
first_name,Pratt,lower,,101
first_name,Quantavis,lower,,101
first_name,Quinterious,lower,,101
first_name,Rally,lower,,101
first_name,Raylynne,lower,,101
first_name,Rebacca,lower,,101
first_name,Rector,lower,,101
first_name,Ritisha,lower,,101
first_name,Romonda,lower,,101
first_name,Saaya,lower,,101
first_name,Sarinity,lower,,101
first_name,Sarrinah,lower,,101
first_name,Sashay,lower,,101
first_name,Sayf,lower,,101
first_name,Scarlettrose,lower,,101
first_name,Schae,lower,,101
first_name,Sephira,lower,,101
first_name,Shakedra,lower,,101
first_name,Shamarra,lower,,101
first_name,Sharalee,lower,,101
first_name,Shavette,lower,,101
first_name,Shawntina,lower,,101
first_name,Shelaine,lower,,101
first_name,Swade,lower,,101
first_name,Sybol,lower,,101
first_name,Tamilyn,lower,,101
first_name,Tashica,lower,,101
first_name,Telesia,lower,,101
first_name,Tifini,lower,,101
first_name,Tonae,lower,,101
first_name,Tyrea,lower,,101
first_name,Vaniya,lower,,101
first_name,Vicy,lower,,101
first_name,Walsie,lower,,101
first_name,Waniya,lower,,101
first_name,Winola,lower,,101
first_name,Yeraldine,lower,,101
first_name,Yittel,lower,,101
first_name,Zanaiya,lower,,101
first_name,Zeidy,lower,,101
first_name,Zenola,lower,,101
first_name,Zyrion,lower,,101
first_name,Zyshonne,lower,,101
first_name,Add,lower,,102
first_name,Ademide,lower,,102
first_name,Aften,lower,,102
first_name,Ahilyn,lower,,102
first_name,Ahriyah,lower,,102
first_name,Akito,lower,,102
first_name,Allexa,lower,,102
first_name,Amaka,lower,,102
first_name,Amarise,lower,,102
first_name,Amiyrah,lower,,102
first_name,Amun,lower,,102
first_name,Aniqua,lower,,102
first_name,Annalysse,lower,,102
first_name,Anndee,lower,,102
first_name,Antanisha,lower,,102
first_name,Ardit,lower,,102
first_name,Ashyra,lower,,102
first_name,Athalee,lower,,102
first_name,Audris,lower,,102
first_name,Aveena,lower,,102
first_name,Baelyn,lower,,102
first_name,Birdena,lower,,102
first_name,Braydee,lower,,102
first_name,Breella,lower,,102
first_name,Caisyn,lower,,102
first_name,Cariah,lower,,102
first_name,Cem,lower,,102
first_name,Cerria,lower,,102
first_name,Charl,lower,,102
first_name,Charvez,lower,,102
first_name,Chatara,lower,,102
first_name,Chinonso,lower,,102
first_name,Cyree,lower,,102
first_name,Dakia,lower,,102
first_name,Damyiah,lower,,102
first_name,Derrico,lower,,102
first_name,Deveney,lower,,102
first_name,Devri,lower,,102
first_name,Dirck,lower,,102
first_name,Donja,lower,,102
first_name,Dontarious,lower,,102
first_name,Dovey,lower,,102
first_name,Dylanie,lower,,102
first_name,Dynastee,lower,,102
first_name,Dysen,lower,,102
first_name,Dyshon,lower,,102
first_name,Edras,lower,,102
first_name,Elaf,lower,,102
first_name,Elaynah,lower,,102
first_name,Eliyohu,lower,,102
first_name,Emer,lower,,102
first_name,Emrik,lower,,102
first_name,Flemon,lower,,102
first_name,Franchelle,lower,,102
first_name,Genean,lower,,102
first_name,Guage,lower,,102
first_name,Ikeya,lower,,102
first_name,Jahsai,lower,,102
first_name,Jaken,lower,,102
first_name,Jaline,lower,,102
first_name,Jamicah,lower,,102
first_name,Jaszmine,lower,,102
first_name,Jilliam,lower,,102
first_name,Joseff,lower,,102
first_name,Josehua,lower,,102
first_name,Joyia,lower,,102
first_name,Jurnei,lower,,102
first_name,Kaho,lower,,102
first_name,Kainat,lower,,102
first_name,Kamilya,lower,,102
first_name,Kashe,lower,,102
first_name,Kasumi,lower,,102
first_name,Kenzlei,lower,,102
first_name,Keondria,lower,,102
first_name,Kerline,lower,,102
first_name,Keyira,lower,,102
first_name,Khloei,lower,,102
first_name,Kida,lower,,102
first_name,Kimley,lower,,102
first_name,Kiondre,lower,,102
first_name,Koriana,lower,,102
first_name,Lamere,lower,,102
first_name,Lareta,lower,,102
first_name,Laurrie,lower,,102
first_name,Layci,lower,,102
first_name,Maitri,lower,,102
first_name,Makaleigh,lower,,102
first_name,Marchele,lower,,102
first_name,Mareon,lower,,102
first_name,Maxxon,lower,,102
first_name,Mayara,lower,,102
first_name,Meilah,lower,,102
first_name,Mercedies,lower,,102
first_name,Meshawn,lower,,102
first_name,Montford,lower,,102
first_name,Montrelle,lower,,102
first_name,Mulani,lower,,102
