char1,char2,score,char_set,sub
2,_,0.164179104477612,default,-2.0
2,`,0.119402985074627,default,-2.0
2,a,0.238532110091743,default,-2.0
2,b,0.290598290598291,default,-2.0
2,c,0.21875,default,-2.0
2,d,0.252100840336134,default,-2.0
2,e,0.25,default,-2.0
2,f,0.244897959183673,default,-2.0
2,g,0.347457627118644,default,-2.0
2,h,0.274193548387097,default,-2.0
2,i,0.227272727272727,default,-2.0
2,j,0.21875,default,-2.0
2,k,0.333333333333333,default,-2.0
2,l,0.280898876404494,default,-2.0
2,m,0.190789473684211,default,-2.0
2,n,0.232142857142857,default,-2.0
2,o,0.245283018867925,default,-2.0
2,p,0.256,default,-2.0
2,q,0.24,default,-2.0
2,r,0.225806451612903,default,-2.0
2,s,0.252631578947368,default,-2.0
2,t,0.214285714285714,default,-2.0
2,u,0.243478260869565,default,-2.0
2,v,0.24,default,-2.0
2,w,0.18705035971223,default,-2.0
2,x,0.323529411764706,default,-2.0
2,y,0.263636363636364,default,-2.0
2,z,0.436781609195402,default,-1.0
2,~,0.242857142857143,default,-2.0
2,°,0.194805194805195,default,-2.0
2,é,0.316831683168317,default,-2.0
2,—,0.1375,default,-2.0
2,‘,0.159420289855072,default,-2.0
2,’,0.142857142857143,default,-2.0
2,“,0.220779220779221,default,-2.0
2,”,0.177215189873418,default,-2.0
2,™,0.191304347826087,default,-2.0
3,3,1.0,default,2.0
3,4,0.323232323232323,default,-2.0
3,5,0.590361445783133,default,0.0
3,6,0.473684210526316,default,-1.0
3,7,0.287234042553192,default,-2.0
3,8,0.5625,default,0.0
3,9,0.474747474747475,default,-1.0
3,:,0.2,default,-2.0
3,;,0.23943661971831,default,-2.0
3,=,0.116883116883117,default,-2.0
3,?,0.375,default,-2.0
3,@,0.231707317073171,default,-2.0
3,A,0.293103448275862,default,-2.0
3,B,0.504347826086956,default,0.0
3,C,0.292929292929293,default,-2.0
3,D,0.291970802919708,default,-2.0
3,E,0.327433628318584,default,-2.0
3,F,0.368932038834951,default,-2.0
3,G,0.348214285714286,default,-2.0
3,H,0.25,default,-2.0
3,I,0.426966292134831,default,-1.0
3,J,0.339805825242718,default,-2.0
3,K,0.306569343065693,default,-2.0
3,L,0.366336633663366,default,-2.0
3,M,0.210227272727273,default,-2.0
3,N,0.235714285714286,default,-2.0
3,O,0.316239316239316,default,-2.0
3,P,0.322033898305085,default,-2.0
3,Q,0.25,default,-2.0
3,R,0.305970149253731,default,-2.0
3,S,0.574712643678161,default,0.0
3,T,0.458333333333333,default,-1.0
3,U,0.295652173913043,default,-2.0
3,V,0.222222222222222,default,-2.0
3,W,0.179190751445087,default,-2.0
3,X,0.295081967213115,default,-2.0
3,Y,0.283185840707965,default,-2.0
3,Z,0.333333333333333,default,-2.0
3,\,0.197530864197531,default,-2.0
3,^,0.209876543209877,default,-2.0
3,_,0.0845070422535211,default,-2.0
3,`,0.121212121212121,default,-2.0
3,a,0.326732673267327,default,-2.0
3,b,0.293103448275862,default,-2.0
3,c,0.260869565217391,default,-2.0
3,d,0.345454545454545,default,-2.0
3,e,0.24,default,-2.0
3,f,0.301075268817204,default,-2.0
3,g,0.35042735042735,default,-2.0
3,h,0.308333333333333,default,-2.0
3,i,0.304878048780488,default,-2.0
3,j,0.348837209302326,default,-2.0
3,k,0.26890756302521,default,-2.0
3,l,0.36144578313253,default,-2.0
3,m,0.241379310344828,default,-2.0
3,n,0.304761904761905,default,-2.0
3,o,0.323232323232323,default,-2.0
3,p,0.248,default,-2.0
3,q,0.283333333333333,default,-2.0
3,r,0.284090909090909,default,-2.0
3,s,0.268817204301075,default,-2.0
3,t,0.325842696629214,default,-2.0
3,u,0.314814814814815,default,-2.0
3,v,0.217821782178218,default,-2.0
3,w,0.214814814814815,default,-2.0
3,x,0.300970873786408,default,-2.0
3,y,0.26605504587156,default,-2.0
3,z,0.305263157894737,default,-2.0
3,~,0.131578947368421,default,-2.0
3,°,0.213333333333333,default,-2.0
3,é,0.245283018867925,default,-2.0
3,—,0.072289156626506,default,-2.0
3,‘,0.161764705882353,default,-2.0
3,’,0.161764705882353,default,-2.0
3,“,0.177215189873418,default,-2.0
3,”,0.194805194805195,default,-2.0
3,™,0.20353982300885,default,-2.0
4,4,1.0,default,2.0
4,5,0.297029702970297,default,-2.0
4,6,0.275229357798165,default,-2.0
4,7,0.237113402061856,default,-2.0
4,8,0.31858407079646,default,-2.0
4,9,0.380952380952381,default,-2.0
4,:,0.220588235294118,default,-2.0
4,;,0.298507462686567,default,-2.0
4,=,0.25,default,-2.0
4,?,0.252873563218391,default,-2.0
4,@,0.218181818181818,default,-2.0
4,A,0.295652173913043,default,-2.0
4,B,0.333333333333333,default,-2.0
4,C,0.257425742574257,default,-2.0
4,D,0.323308270676692,default,-2.0
4,E,0.405660377358491,default,-1.0
4,F,0.443298969072165,default,-1.0
4,G,0.219512195121951,default,-2.0
4,H,0.310810810810811,default,-2.0
4,I,0.518072289156627,default,0.0
4,J,0.397959183673469,default,-2.0
4,K,0.318518518518519,default,-2.0
4,L,0.457446808510638,default,-1.0
4,M,0.300613496932515,default,-2.0
4,N,0.303030303030303,default,-2.0
4,O,0.233870967741935,default,-2.0
4,P,0.383928571428571,default,-2.0
4,Q,0.190140845070423,default,-2.0
4,R,0.32824427480916,default,-2.0
4,S,0.247706422018349,default,-2.0
4,T,0.447916666666667,default,-1.0
4,U,0.321428571428571,default,-2.0
4,V,0.213675213675214,default,-2.0
4,W,0.194117647058824,default,-2.0
4,X,0.276422764227642,default,-2.0
4,Y,0.252173913043478,default,-2.0
4,Z,0.254385964912281,default,-2.0
4,\,0.2,default,-2.0
4,^,0.293333333333333,default,-2.0
4,_,0.169230769230769,default,-2.0
4,`,0.106060606060606,default,-2.0
4,a,0.357142857142857,default,-2.0
4,b,0.354545454545455,default,-2.0
4,c,0.263736263736264,default,-2.0
4,d,0.413461538461538,default,-1.0
4,e,0.255102040816327,default,-2.0
4,f,0.481481481481481,default,-1.0
4,g,0.286885245901639,default,-2.0
4,h,0.356521739130435,default,-2.0
4,i,0.514285714285714,default,0.0
4,j,0.455696202531646,default,-1.0
4,k,0.401869158878505,default,-1.0
4,l,0.577464788732394,default,0.0
4,m,0.251748251748252,default,-2.0
4,n,0.307692307692308,default,-2.0
4,o,0.287128712871287,default,-2.0
4,p,0.359649122807018,default,-2.0
4,q,0.378378378378378,default,-2.0
4,r,0.4,default,-1.0
4,s,0.285714285714286,default,-2.0
4,t,0.444444444444444,default,-1.0
4,u,0.355769230769231,default,-2.0
4,v,0.22,default,-2.0
4,w,0.225563909774436,default,-2.0
4,x,0.29126213592233,default,-2.0
4,y,0.234234234234234,default,-2.0
4,z,0.32258064516129,default,-2.0
4,~,0.164383561643836,default,-2.0
4,°,0.216216216216216,default,-2.0
4,é,0.297029702970297,default,-2.0
4,—,0.171052631578947,default,-2.0
4,‘,0.181818181818182,default,-2.0
4,’,0.181818181818182,default,-2.0
4,“,0.210526315789474,default,-2.0
4,”,0.213333333333333,default,-2.0
4,™,0.216216216216216,default,-2.0
5,5,1.0,default,2.0
5,6,0.48936170212766,default,-1.0
5,7,0.344444444444444,default,-2.0
5,8,0.5,default,0.0
5,9,0.505154639175258,default,0.0
5,:,0.183098591549296,default,-2.0
5,;,0.257142857142857,default,-2.0
5,=,0.131578947368421,default,-2.0
5,?,0.294117647058824,default,-2.0
5,@,0.239263803680982,default,-2.0
5,A,0.327433628318584,default,-2.0
5,B,0.453781512605042,default,-1.0
5,C,0.267326732673267,default,-2.0
5,D,0.301470588235294,default,-2.0
5,E,0.363636363636364,default,-2.0
5,F,0.317757009345794,default,-2.0
5,G,0.324561403508772,default,-2.0
5,H,0.21875,default,-2.0
5,I,0.365591397849462,default,-2.0
5,J,0.289719626168224,default,-2.0
5,K,0.316176470588235,default,-2.0
5,L,0.30188679245283,default,-2.0
5,M,0.217142857142857,default,-2.0
5,N,0.281481481481481,default,-2.0
5,O,0.262295081967213,default,-2.0
5,P,0.333333333333333,default,-2.0
5,Q,0.188811188811189,default,-2.0
5,R,0.346153846153846,default,-2.0
5,S,0.611764705882353,default,0.0
5,T,0.4,default,-1.0
5,U,0.252100840336134,default,-2.0
5,V,0.243478260869565,default,-2.0
5,W,0.2,default,-2.0
5,X,0.253968253968254,default,-2.0
5,Y,0.294642857142857,default,-2.0
5,Z,0.252173913043478,default,-2.0
5,\,0.182926829268293,default,-2.0
5,^,0.195121951219512,default,-2.0
5,_,0.115942028985507,default,-2.0
5,`,0.121212121212121,default,-2.0
5,a,0.276190476190476,default,-2.0
5,b,0.282051282051282,default,-2.0
5,c,0.288888888888889,default,-2.0
5,d,0.333333333333333,default,-2.0
5,e,0.26530612244898,default,-2.0
5,f,0.260416666666667,default,-2.0
5,g,0.327731092436975,default,-2.0
5,h,0.297520661157025,default,-2.0
5,i,0.244186046511628,default,-2.0
5,j,0.274725274725275,default,-2.0
5,k,0.301724137931034,default,-2.0
5,l,0.284090909090909,default,-2.0
5,m,0.241379310344828,default,-2.0
5,n,0.280373831775701,default,-2.0
5,o,0.323232323232323,default,-2.0
5,p,0.278688524590164,default,-2.0
5,q,0.272727272727273,default,-2.0
5,r,0.21505376344086,default,-2.0
5,s,0.296703296703297,default,-2.0
5,t,0.25531914893617,default,-2.0
5,u,0.302752293577982,default,-2.0
5,v,0.23,default,-2.0
5,w,0.179856115107914,default,-2.0
5,x,0.300970873786408,default,-2.0
5,y,0.30188679245283,default,-2.0
5,z,0.24,default,-2.0
5,~,0.146666666666667,default,-2.0
5,°,0.197368421052632,default,-2.0
5,é,0.269230769230769,default,-2.0
5,—,0.0987654320987654,default,-2.0
5,‘,0.128571428571429,default,-2.0
5,’,0.17910447761194,default,-2.0
5,“,0.177215189873418,default,-2.0
5,”,0.194805194805195,default,-2.0
5,™,0.247706422018349,default,-2.0
6,6,1.0,default,2.0
6,7,0.29,default,-2.0
6,8,0.476635514018692,default,-1.0
6,9,0.466666666666667,default,-1.0
6,:,0.164556962025316,default,-2.0
6,;,0.2,default,-2.0
6,=,0.132530120481928,default,-2.0
6,?,0.282608695652174,default,-2.0
6,@,0.25748502994012,default,-2.0
6,A,0.305785123966942,default,-2.0
6,B,0.508333333333333,default,0.0
6,C,0.416666666666667,default,-1.0
6,D,0.360294117647059,default,-2.0
6,E,0.398230088495575,default,-2.0
6,F,0.37962962962963,default,-2.0
6,G,0.31404958677686,default,-2.0
6,H,0.253086419753086,default,-2.0
6,I,0.35,default,-2.0
6,J,0.292035398230089,default,-2.0
6,K,0.335714285714286,default,-2.0
6,L,0.351851851851852,default,-2.0
6,M,0.23463687150838,default,-2.0
6,N,0.330882352941176,default,-2.0
6,O,0.306451612903226,default,-2.0
6,P,0.413793103448276,default,-1.0
6,Q,0.289855072463768,default,-2.0
6,R,0.37593984962406,default,-2.0
6,S,0.479591836734694,default,-1.0
6,T,0.357798165137615,default,-2.0
6,U,0.276422764227642,default,-2.0
6,V,0.31304347826087,default,-2.0
6,W,0.211428571428571,default,-2.0
6,X,0.238805970149254,default,-2.0
6,Y,0.275,default,-2.0
6,Z,0.225806451612903,default,-2.0
6,\,0.179775280898876,default,-2.0
6,^,0.218390804597701,default,-2.0
6,_,0.0897435897435897,default,-2.0
6,`,0.108108108108108,default,-2.0
6,a,0.365384615384615,default,-2.0
6,b,0.462962962962963,default,-1.0
6,c,0.362637362637363,default,-2.0
6,d,0.418181818181818,default,-1.0
6,e,0.389473684210526,default,-2.0
6,f,0.303030303030303,default,-2.0
6,g,0.328,default,-2.0
6,h,0.434782608695652,default,-1.0
6,i,0.292134831460674,default,-2.0
6,j,0.24,default,-2.0
6,k,0.292682926829268,default,-2.0
6,l,0.287234042553192,default,-2.0
6,m,0.323943661971831,default,-2.0
6,n,0.407766990291262,default,-1.0
6,o,0.478723404255319,default,-1.0
6,p,0.413793103448276,default,-1.0
6,q,0.35,default,-2.0
6,r,0.301075268817204,default,-2.0
6,s,0.354838709677419,default,-2.0
6,t,0.384615384615385,default,-2.0
6,u,0.456310679611651,default,-1.0
6,v,0.350515463917526,default,-2.0
6,w,0.293233082706767,default,-2.0
6,x,0.245614035087719,default,-2.0
6,y,0.292035398230089,default,-2.0
6,z,0.233644859813084,default,-2.0
6,~,0.146341463414634,default,-2.0
6,°,0.192771084337349,default,-2.0
6,é,0.386138613861386,default,-2.0
6,—,0.0769230769230769,default,-2.0
6,‘,0.144736842105263,default,-2.0
6,’,0.12987012987013,default,-2.0
6,“,0.202380952380952,default,-2.0
6,”,0.176470588235294,default,-2.0
6,™,0.285714285714286,default,-2.0
7,7,1.0,default,2.0
7,8,0.252252252252252,default,-2.0
7,9,0.310679611650485,default,-2.0
7,:,0.19672131147541,default,-2.0
7,;,0.241935483870968,default,-2.0
7,=,0.19047619047619,default,-2.0
7,?,0.477611940298507,default,-1.0
7,@,0.21656050955414,default,-2.0
7,A,0.263636363636364,default,-2.0
7,B,0.255813953488372,default,-2.0
7,C,0.21875,default,-2.0
7,D,0.238805970149254,default,-2.0
7,E,0.287037037037037,default,-2.0
7,F,0.326530612244898,default,-2.0
7,G,0.206896551724138,default,-2.0
7,H,0.202614379084967,default,-2.0
7,I,0.364705882352941,default,-2.0
7,J,0.282828282828283,default,-2.0
7,K,0.226277372262774,default,-2.0
7,L,0.295918367346939,default,-2.0
7,M,0.195266272189349,default,-2.0
7,N,0.227272727272727,default,-2.0
7,O,0.201680672268908,default,-2.0
7,P,0.283185840707965,default,-2.0
7,Q,0.195488721804511,default,-2.0
7,R,0.261538461538462,default,-2.0
7,S,0.211538461538462,default,-2.0
7,T,0.402173913043478,default,-1.0
7,U,0.221238938053097,default,-2.0
7,V,0.375,default,-2.0
7,W,0.245161290322581,default,-2.0
7,X,0.225,default,-2.0
7,Y,0.440860215053763,default,-1.0
7,Z,0.414893617021277,default,-1.0
7,\,0.116883116883117,default,-2.0
7,^,0.208333333333333,default,-2.0
7,_,0.2,default,-2.0
7,`,0.125,default,-2.0
7,a,0.255102040816327,default,-2.0
7,b,0.263636363636364,default,-2.0
7,c,0.193181818181818,default,-2.0
7,d,0.245454545454545,default,-2.0
7,e,0.241758241758242,default,-2.0
7,f,0.25,default,-2.0
7,g,0.225,default,-2.0
7,h,0.247863247863248,default,-2.0
7,i,0.263157894736842,default,-2.0
7,j,0.25,default,-2.0
7,k,0.186440677966102,default,-2.0
7,l,0.259259259259259,default,-2.0
7,m,0.215827338129496,default,-2.0
7,n,0.235294117647059,default,-2.0
7,o,0.304347826086957,default,-2.0
7,p,0.25,default,-2.0
7,q,0.254385964912281,default,-2.0
7,r,0.291139240506329,default,-2.0
7,s,0.258823529411765,default,-2.0
7,t,0.289156626506024,default,-2.0
7,u,0.297029702970297,default,-2.0
7,v,0.349397590361446,default,-2.0
7,w,0.233870967741935,default,-2.0
7,x,0.242424242424242,default,-2.0
7,y,0.426966292134831,default,-1.0
7,z,0.36144578313253,default,-2.0
7,~,0.25,default,-2.0
7,°,0.230769230769231,default,-2.0
7,é,0.222222222222222,default,-2.0
7,—,0.161764705882353,default,-2.0
7,‘,0.152542372881356,default,-2.0
7,’,0.192982456140351,default,-2.0
7,“,0.223880597014925,default,-2.0
7,”,0.265625,default,-2.0
7,™,0.237623762376238,default,-2.0
8,8,1.0,default,2.0
8,9,0.490909090909091,default,-1.0
8,:,0.159090909090909,default,-2.0
8,;,0.191011235955056,default,-2.0
8,=,0.118279569892473,default,-2.0
8,?,0.292929292929293,default,-2.0
8,@,0.257142857142857,default,-2.0
8,A,0.322834645669291,default,-2.0
8,B,0.591666666666667,default,0.0
8,C,0.327272727272727,default,-2.0
8,D,0.392857142857143,default,-2.0
8,E,0.411764705882353,default,-1.0
8,F,0.382608695652174,default,-2.0
8,G,0.341269841269841,default,-2.0
8,H,0.245614035087719,default,-2.0
8,I,0.330275229357798,default,-2.0
8,J,0.278688524590164,default,-2.0
8,K,0.41726618705036,default,-1.0
8,L,0.344827586206897,default,-2.0
8,M,0.248648648648649,default,-2.0
8,N,0.299319727891156,default,-2.0
8,O,0.274074074074074,default,-2.0
8,P,0.426229508196721,default,-1.0
8,Q,0.212903225806452,default,-2.0
8,R,0.484615384615385,default,-1.0
8,S,0.703296703296703,default,1.0
8,T,0.362068965517241,default,-2.0
8,U,0.255639097744361,default,-2.0
8,V,0.229007633587786,default,-2.0
8,W,0.193548387096774,default,-2.0
8,X,0.27536231884058,default,-2.0
8,Y,0.283464566929134,default,-2.0
8,Z,0.296,default,-2.0
8,\,0.15,default,-2.0
8,^,0.208333333333333,default,-2.0
8,_,0.0674157303370786,default,-2.0
8,`,0.0952380952380952,default,-2.0
8,a,0.381818181818182,default,-2.0
8,b,0.423728813559322,default,-1.0
8,c,0.300970873786408,default,-2.0
8,d,0.371900826446281,default,-2.0
8,e,0.327102803738318,default,-2.0
8,f,0.299065420560748,default,-2.0
8,g,0.419354838709677,default,-1.0
8,h,0.388888888888889,default,-2.0
8,i,0.237623762376238,default,-2.0
8,j,0.264150943396226,default,-2.0
8,k,0.341269841269841,default,-2.0
8,l,0.271844660194175,default,-2.0
8,m,0.32,default,-2.0
8,n,0.371681415929204,default,-2.0
8,o,0.37962962962963,default,-2.0
8,p,0.348837209302326,default,-2.0
8,q,0.34375,default,-2.0
8,r,0.271844660194175,default,-2.0
8,s,0.307692307692308,default,-2.0
8,t,0.307692307692308,default,-2.0
8,u,0.415929203539823,default,-1.0
8,v,0.293577981651376,default,-2.0
8,w,0.22972972972973,default,-2.0
8,x,0.333333333333333,default,-2.0
8,y,0.268292682926829,default,-2.0
8,z,0.290909090909091,default,-2.0
8,~,0.155555555555556,default,-2.0
8,°,0.159574468085106,default,-2.0
8,é,0.304347826086957,default,-2.0
8,—,0.0594059405940594,default,-2.0
8,‘,0.127906976744186,default,-2.0
8,’,0.127906976744186,default,-2.0
8,“,0.180851063829787,default,-2.0
8,”,0.170212765957447,default,-2.0
8,™,0.241935483870968,default,-2.0
9,9,1.0,default,2.0
9,:,0.152941176470588,default,-2.0
9,;,0.2,default,-2.0
9,=,0.162790697674419,default,-2.0
9,?,0.319148936170213,default,-2.0
9,@,0.263157894736842,default,-2.0
9,A,0.301587301587302,default,-2.0
9,B,0.4609375,default,-1.0
9,C,0.224137931034483,default,-2.0
9,D,0.37410071942446,default,-2.0
9,E,0.301587301587302,default,-2.0
9,F,0.347826086956522,default,-2.0
9,G,0.299212598425197,default,-2.0
9,H,0.282208588957055,default,-2.0
9,I,0.382352941176471,default,-2.0
9,J,0.333333333333333,default,-2.0
9,K,0.312925170068027,default,-2.0
9,L,0.321739130434783,default,-2.0
9,M,0.201058201058201,default,-2.0
9,N,0.246666666666667,default,-2.0
9,O,0.344,default,-2.0
9,P,0.46551724137931,default,-1.0
9,Q,0.277777777777778,default,-2.0
9,R,0.41044776119403,default,-1.0
9,S,0.495049504950495,default,-1.0
9,T,0.4,default,-1.0
9,U,0.293650793650794,default,-2.0
9,V,0.341880341880342,default,-2.0
9,W,0.217877094972067,default,-2.0
9,X,0.255474452554745,default,-2.0
9,Y,0.282258064516129,default,-2.0
9,Z,0.253968253968254,default,-2.0
9,\,0.180851063829787,default,-2.0
9,^,0.258426966292135,default,-2.0
9,_,0.109756097560976,default,-2.0
9,`,0.1,default,-2.0
9,a,0.423076923076923,default,-1.0
9,b,0.366666666666667,default,-2.0
9,c,0.354166666666667,default,-2.0
9,d,0.408695652173913,default,-1.0
9,e,0.393939393939394,default,-2.0
9,f,0.298076923076923,default,-2.0
9,g,0.354330708661417,default,-2.0
9,h,0.449152542372881,default,-1.0
9,i,0.301075268817204,default,-2.0
9,j,0.313131313131313,default,-2.0
9,k,0.27906976744186,default,-2.0
9,l,0.309278350515464,default,-2.0
9,m,0.366197183098592,default,-2.0
9,n,0.411214953271028,default,-1.0
9,o,0.479591836734694,default,-1.0
9,p,0.39344262295082,default,-2.0
9,q,0.4,default,-1.0
9,r,0.295918367346939,default,-2.0
9,s,0.281553398058252,default,-2.0
9,t,0.333333333333333,default,-2.0
9,u,0.485714285714286,default,-1.0
9,v,0.317307692307692,default,-2.0
9,w,0.280575539568345,default,-2.0
9,x,0.254237288135593,default,-2.0
9,y,0.288135593220339,default,-2.0
9,z,0.221238938053097,default,-2.0
9,~,0.136363636363636,default,-2.0
9,°,0.179775280898876,default,-2.0
9,é,0.364485981308411,default,-2.0
9,—,0.0957446808510638,default,-2.0
9,‘,0.1625,default,-2.0
9,’,0.148148148148148,default,-2.0
9,“,0.215909090909091,default,-2.0
9,”,0.191011235955056,default,-2.0
9,™,0.271186440677966,default,-2.0
:,:,1.0,default,2.0
:,;,0.739130434782609,default,1.0
:,=,0.0857142857142857,default,-2.0
:,?,0.192307692307692,default,-2.0
:,@,0.0921985815602837,default,-2.0
:,A,0.133333333333333,default,-2.0
:,B,0.168224299065421,default,-2.0
:,C,0.212121212121212,default,-2.0
:,D,0.162162162162162,default,-2.0
:,E,0.214285714285714,default,-2.0
:,F,0.24,default,-2.0
:,G,0.170454545454545,default,-2.0
:,H,0.13953488372093,default,-2.0
:,I,0.295081967213115,default,-2.0
:,J,0.25,default,-2.0
:,K,0.15929203539823,default,-2.0
:,L,0.25,default,-2.0
:,M,0.1,default,-2.0
:,N,0.136363636363636,default,-2.0
:,O,0.164835164835165,default,-2.0
:,P,0.2,default,-2.0
:,Q,0.12962962962963,default,-2.0
:,R,0.165137614678899,default,-2.0
:,S,0.186666666666667,default,-2.0
:,T,0.243243243243243,default,-2.0
:,U,0.160919540229885,default,-2.0
:,V,0.117647058823529,default,-2.0
:,W,0.0763888888888889,default,-2.0
:,X,0.134020618556701,default,-2.0
:,Y,0.141176470588235,default,-2.0
:,Z,0.129411764705882,default,-2.0
:,\,0.13953488372093,default,-2.0
:,^,0.162790697674419,default,-2.0
:,_,0.115384615384615,default,-2.0
:,`,0.3,default,-2.0
:,a,0.178082191780822,default,-2.0
:,b,0.172413793103448,default,-2.0
:,c,0.236363636363636,default,-2.0
:,d,0.176470588235294,default,-2.0
:,e,0.206349206349206,default,-2.0
:,f,0.258620689655172,default,-2.0
:,g,0.145833333333333,default,-2.0
:,h,0.159574468085106,default,-2.0
:,i,0.372093023255814,default,-2.0
:,j,0.259259259259259,default,-2.0
:,k,0.157303370786517,default,-2.0
:,l,0.274509803921569,default,-2.0
:,m,0.137931034482759,default,-2.0
:,n,0.219178082191781,default,-2.0
:,o,0.169014084507042,default,-2.0
:,p,0.173913043478261,default,-2.0
:,q,0.164835164835165,default,-2.0
:,r,0.326530612244898,default,-2.0
:,s,0.228070175438596,default,-2.0
:,t,0.320754716981132,default,-2.0
:,u,0.220779220779221,default,-2.0
:,v,0.153846153846154,default,-2.0
:,w,0.104761904761905,default,-2.0
:,x,0.228571428571429,default,-2.0
:,y,0.153846153846154,default,-2.0
:,z,0.245901639344262,default,-2.0
:,~,0.151515151515152,default,-2.0
:,°,0.162162162162162,default,-2.0
:,é,0.183098591549296,default,-2.0
:,—,0.0857142857142857,default,-2.0
:,‘,0.347826086956522,default,-2.0
:,’,0.347826086956522,default,-2.0
:,“,0.216216216216216,default,-2.0
:,”,0.222222222222222,default,-2.0
:,™,0.1,default,-2.0
;,;,1.0,default,2.0
;,=,0.135135135135135,default,-2.0
;,?,0.2,default,-2.0
;,@,0.0972222222222222,default,-2.0
;,A,0.127659574468085,default,-2.0
;,B,0.205607476635514,default,-2.0
;,C,0.217391304347826,default,-2.0
;,D,0.198198198198198,default,-2.0
;,E,0.261904761904762,default,-2.0
;,F,0.293333333333333,default,-2.0
;,G,0.229885057471264,default,-2.0
;,H,0.170542635658915,default,-2.0
;,I,0.360655737704918,default,-2.0
;,J,0.287671232876712,default,-2.0
;,K,0.194690265486726,default,-2.0
;,L,0.305555555555556,default,-2.0
;,M,0.134228187919463,default,-2.0
;,N,0.162162162162162,default,-2.0
;,O,0.170212765957447,default,-2.0
;,P,0.244444444444444,default,-2.0
;,Q,0.135135135135135,default,-2.0
;,R,0.201834862385321,default,-2.0
;,S,0.223684210526316,default,-2.0
;,T,0.297297297297297,default,-2.0
;,U,0.206896551724138,default,-2.0
;,V,0.137931034482759,default,-2.0
;,W,0.096551724137931,default,-2.0
;,X,0.163265306122449,default,-2.0
;,Y,0.147727272727273,default,-2.0
;,Z,0.176470588235294,default,-2.0
;,\,0.170731707317073,default,-2.0
;,^,0.173913043478261,default,-2.0
;,_,0.1,default,-2.0
;,`,0.304347826086957,default,-2.0
;,a,0.168831168831169,default,-2.0
;,b,0.191011235955056,default,-2.0
;,c,0.220338983050847,default,-2.0
;,d,0.209302325581395,default,-2.0
;,e,0.194029850746269,default,-2.0
;,f,0.283333333333333,default,-2.0
;,g,0.151515151515152,default,-2.0
;,h,0.177083333333333,default,-2.0
;,i,0.3125,default,-2.0
;,j,0.333333333333333,default,-2.0
;,k,0.188888888888889,default,-2.0
;,l,0.326923076923077,default,-2.0
;,m,0.12396694214876,default,-2.0
;,n,0.192307692307692,default,-2.0
;,o,0.16,default,-2.0
;,p,0.191489361702128,default,-2.0
;,q,0.195652173913043,default,-2.0
;,r,0.277777777777778,default,-2.0
;,s,0.193548387096774,default,-2.0
;,t,0.321428571428571,default,-2.0
;,u,0.209876543209877,default,-2.0
;,v,0.161764705882353,default,-2.0
;,w,0.111111111111111,default,-2.0
;,x,0.2,default,-2.0
;,y,0.146341463414634,default,-2.0
;,z,0.212121212121212,default,-2.0
;,~,0.166666666666667,default,-2.0
;,°,0.205128205128205,default,-2.0
;,é,0.173333333333333,default,-2.0
;,—,0.0769230769230769,default,-2.0
;,‘,0.296296296296296,default,-2.0
;,’,0.458333333333333,default,-1.0
;,“,0.225,default,-2.0
;,”,0.297297297297297,default,-2.0
;,™,0.135802469135802,default,-2.0
=,=,1.0,default,2.0
=,?,0.142857142857143,default,-2.0
=,@,0.0985915492957746,default,-2.0
=,A,0.142857142857143,default,-2.0
=,B,0.114035087719298,default,-2.0
=,C,0.108108108108108,default,-2.0
=,D,0.110169491525424,default,-2.0
=,E,0.142857142857143,default,-2.0
=,F,0.158536585365854,default,-2.0
=,G,0.105263157894737,default,-2.0
=,H,0.0955882352941176,default,-2.0
=,I,0.140845070422535,default,-2.0
=,J,0.126582278481013,default,-2.0
=,K,0.0991735537190083,default,-2.0
=,L,0.164556962025316,default,-2.0
=,M,0.0774193548387097,default,-2.0
=,N,0.0854700854700855,default,-2.0
=,O,0.08,default,-2.0
=,P,0.134020618556701,default,-2.0
=,Q,0.107142857142857,default,-2.0
=,R,0.112068965517241,default,-2.0
=,S,0.123456790123457,default,-2.0
=,T,0.160493827160494,default,-2.0
=,U,0.0957446808510638,default,-2.0
=,V,0.127906976744186,default,-2.0
=,W,0.0775193798449612,default,-2.0
=,X,0.12,default,-2.0
=,Y,0.112359550561798,default,-2.0
=,Z,0.152941176470588,default,-2.0
=,\,0.0851063829787234,default,-2.0
=,^,0.155555555555556,default,-2.0
=,_,0.476190476190476,default,-1.0
=,`,0.12,default,-2.0
=,a,0.189189189189189,default,-2.0
=,b,0.118279569892473,default,-2.0
=,c,0.147540983606557,default,-2.0
=,d,0.108695652173913,default,-2.0
=,e,0.238095238095238,default,-2.0
=,f,0.209677419354839,default,-2.0
=,g,0.142857142857143,default,-2.0
=,h,0.121212121212121,default,-2.0
=,i,0.150943396226415,default,-2.0
=,j,0.101694915254237,default,-2.0
=,k,0.141304347826087,default,-2.0
=,l,0.155172413793103,default,-2.0
=,m,0.0983606557377049,default,-2.0
=,n,0.1375,default,-2.0
=,o,0.133333333333333,default,-2.0
=,p,0.111111111111111,default,-2.0
=,q,0.102040816326531,default,-2.0
=,r,0.155172413793103,default,-2.0
=,s,0.161290322580645,default,-2.0
=,t,0.180327868852459,default,-2.0
=,u,0.142857142857143,default,-2.0
=,v,0.166666666666667,default,-2.0
=,w,0.0925925925925926,default,-2.0
