char1,char2,score,char_set,sub
!,’,0.264705882352941,default,-2.0
!,“,0.1875,default,-2.0
!,”,0.217391304347826,default,-2.0
!,™,0.19047619047619,default,-2.0
"""","""",1.0,default,2.0
"""",#,0.253521126760563,default,-2.0
"""",%,0.157894736842105,default,-2.0
"""",&,0.135135135135135,default,-2.0
"""",',0.476190476190476,default,-1.0
"""",(,0.189655172413793,default,-2.0
"""",),0.186440677966102,default,-2.0
"""",*,0.319148936170213,default,-2.0
"""",+,0.366666666666667,default,-2.0
"""",",",0.307692307692308,default,-2.0
"""",-,0.173913043478261,default,-2.0
"""",.,0.285714285714286,default,-2.0
"""",/,0.181818181818182,default,-2.0
"""",0,0.120879120879121,default,-2.0
"""",1,0.254545454545455,default,-2.0
"""",2,0.142857142857143,default,-2.0
"""",3,0.16,default,-2.0
"""",4,0.211267605633803,default,-2.0
"""",5,0.16,default,-2.0
"""",6,0.130952380952381,default,-2.0
"""",7,0.245901639344262,default,-2.0
"""",8,0.153846153846154,default,-2.0
"""",9,0.160919540229885,default,-2.0
"""",:,0.21875,default,-2.0
"""",;,0.264705882352941,default,-2.0
"""",=,0.205882352941176,default,-2.0
"""",?,0.203703703703704,default,-2.0
"""",@,0.13768115942029,default,-2.0
"""",A,0.179775280898876,default,-2.0
"""",B,0.11304347826087,default,-2.0
"""",C,0.152777777777778,default,-2.0
"""",D,0.1,default,-2.0
"""",E,0.129032258064516,default,-2.0
"""",F,0.142857142857143,default,-2.0
"""",G,0.127659574468085,default,-2.0
"""",H,0.102941176470588,default,-2.0
"""",I,0.171428571428571,default,-2.0
"""",J,0.148148148148148,default,-2.0
"""",K,0.175438596491228,default,-2.0
"""",L,0.148148148148148,default,-2.0
"""",M,0.12751677852349,default,-2.0
"""",N,0.163636363636364,default,-2.0
"""",O,0.112244897959184,default,-2.0
"""",P,0.13265306122449,default,-2.0
"""",Q,0.116071428571429,default,-2.0
"""",R,0.150442477876106,default,-2.0
"""",S,0.164556962025316,default,-2.0
"""",T,0.1875,default,-2.0
"""",U,0.130434782608696,default,-2.0
"""",V,0.180722891566265,default,-2.0
"""",W,0.127659574468085,default,-2.0
"""",X,0.118811881188119,default,-2.0
"""",Y,0.149425287356322,default,-2.0
"""",Z,0.151162790697674,default,-2.0
"""",\,0.181818181818182,default,-2.0
"""",^,0.325,default,-2.0
"""",_,0.185185185185185,default,-2.0
"""",`,0.260869565217391,default,-2.0
"""",a,0.186666666666667,default,-2.0
"""",b,0.129032258064516,default,-2.0
"""",c,0.183333333333333,default,-2.0
"""",d,0.157303370786517,default,-2.0
"""",e,0.196969696969697,default,-2.0
"""",f,0.1875,default,-2.0
"""",g,0.164948453608247,default,-2.0
"""",h,0.131313131313131,default,-2.0
"""",i,0.215686274509804,default,-2.0
"""",j,0.183333333333333,default,-2.0
"""",k,0.204545454545455,default,-2.0
"""",l,0.214285714285714,default,-2.0
"""",m,0.10655737704918,default,-2.0
"""",n,0.15,default,-2.0
"""",o,0.146666666666667,default,-2.0
"""",p,0.121212121212121,default,-2.0
"""",q,0.147368421052632,default,-2.0
"""",r,0.236363636363636,default,-2.0
"""",s,0.19672131147541,default,-2.0
"""",t,0.19672131147541,default,-2.0
"""",u,0.141176470588235,default,-2.0
"""",v,0.21875,default,-2.0
"""",w,0.144230769230769,default,-2.0
"""",x,0.186666666666667,default,-2.0
"""",y,0.1625,default,-2.0
"""",z,0.196969696969697,default,-2.0
"""",~,0.28125,default,-2.0
"""",°,0.4375,default,-1.0
"""",é,0.175675675675676,default,-2.0
"""",—,0.128205128205128,default,-2.0
"""",‘,0.307692307692308,default,-2.0
"""",’,0.307692307692308,default,-2.0
"""",“,0.411764705882353,default,-1.0
"""",”,0.566666666666667,default,0.0
"""",™,0.197368421052632,default,-2.0
#,#,1.0,default,2.0
#,%,0.209459459459459,default,-2.0
#,&,0.244604316546763,default,-2.0
#,',0.147058823529412,default,-2.0
#,(,0.234042553191489,default,-2.0
#,),0.24468085106383,default,-2.0
#,*,0.267441860465116,default,-2.0
#,+,0.222222222222222,default,-2.0
#,",",0.140845070422535,default,-2.0
#,-,0.0882352941176471,default,-2.0
#,.,0.0882352941176471,default,-2.0
#,/,0.285714285714286,default,-2.0
#,0,0.231404958677686,default,-2.0
#,1,0.247311827956989,default,-2.0
#,2,0.227272727272727,default,-2.0
#,3,0.229357798165138,default,-2.0
#,4,0.343434343434343,default,-2.0
#,5,0.252336448598131,default,-2.0
#,6,0.256637168141593,default,-2.0
#,7,0.32258064516129,default,-2.0
#,8,0.288135593220339,default,-2.0
#,9,0.264957264957265,default,-2.0
#,:,0.146666666666667,default,-2.0
#,;,0.139240506329114,default,-2.0
#,=,0.189189189189189,default,-2.0
#,?,0.217391304347826,default,-2.0
#,@,0.214285714285714,default,-2.0
#,A,0.245901639344262,default,-2.0
#,B,0.25,default,-2.0
#,C,0.226415094339623,default,-2.0
#,D,0.201342281879195,default,-2.0
#,E,0.299145299145299,default,-2.0
#,F,0.311926605504587,default,-2.0
#,G,0.176923076923077,default,-2.0
#,H,0.208588957055215,default,-2.0
#,I,0.277227722772277,default,-2.0
#,J,0.238938053097345,default,-2.0
#,K,0.292857142857143,default,-2.0
#,L,0.261261261261261,default,-2.0
#,M,0.201117318435754,default,-2.0
#,N,0.25,default,-2.0
#,O,0.181818181818182,default,-2.0
#,P,0.305785123966942,default,-2.0
#,Q,0.194444444444444,default,-2.0
#,R,0.301470588235294,default,-2.0
#,S,0.230088495575221,default,-2.0
#,T,0.290909090909091,default,-2.0
#,U,0.188976377952756,default,-2.0
#,V,0.271929824561404,default,-2.0
#,W,0.197674418604651,default,-2.0
#,X,0.24031007751938,default,-2.0
#,Y,0.256410256410256,default,-2.0
#,Z,0.216666666666667,default,-2.0
#,\,0.137931034482759,default,-2.0
#,^,0.25,default,-2.0
#,_,0.161764705882353,default,-2.0
#,`,0.101449275362319,default,-2.0
#,a,0.307692307692308,default,-2.0
#,b,0.245901639344262,default,-2.0
#,c,0.282608695652174,default,-2.0
#,d,0.239669421487603,default,-2.0
#,e,0.3125,default,-2.0
#,f,0.294736842105263,default,-2.0
#,g,0.34453781512605,default,-2.0
#,h,0.232558139534884,default,-2.0
#,i,0.238636363636364,default,-2.0
#,j,0.216494845360825,default,-2.0
#,k,0.318965517241379,default,-2.0
#,l,0.236559139784946,default,-2.0
#,m,0.213333333333333,default,-2.0
#,n,0.275229357798165,default,-2.0
#,o,0.278846153846154,default,-2.0
#,p,0.253968253968254,default,-2.0
#,q,0.238095238095238,default,-2.0
#,r,0.337209302325581,default,-2.0
#,s,0.290322580645161,default,-2.0
#,t,0.318681318681319,default,-2.0
#,u,0.252173913043478,default,-2.0
#,v,0.302083333333333,default,-2.0
#,w,0.220588235294118,default,-2.0
#,x,0.333333333333333,default,-2.0
#,y,0.284403669724771,default,-2.0
#,z,0.26,default,-2.0
#,~,0.157894736842105,default,-2.0
#,°,0.24,default,-2.0
#,é,0.288461538461538,default,-2.0
#,—,0.15,default,-2.0
#,‘,0.140845070422535,default,-2.0
#,’,0.140845070422535,default,-2.0
#,“,0.233766233766234,default,-2.0
#,”,0.253333333333333,default,-2.0
#,™,0.289719626168224,default,-2.0
%,%,1.0,default,2.0
%,&,0.270588235294118,default,-2.0
%,',0.0803571428571429,default,-2.0
%,(,0.186567164179104,default,-2.0
%,),0.203007518796992,default,-2.0
%,*,0.16030534351145,default,-2.0
%,+,0.110169491525424,default,-2.0
%,",",0.087719298245614,default,-2.0
%,-,0.0446428571428571,default,-2.0
%,.,0.0540540540540541,default,-2.0
%,/,0.0923076923076923,default,-2.0
%,0,0.207547169811321,default,-2.0
%,1,0.195488721804511,default,-2.0
%,2,0.178807947019868,default,-2.0
%,3,0.220689655172414,default,-2.0
%,4,0.205479452054795,default,-2.0
%,5,0.229166666666667,default,-2.0
%,6,0.241610738255034,default,-2.0
%,7,0.194244604316547,default,-2.0
%,8,0.258064516129032,default,-2.0
%,9,0.308219178082192,default,-2.0
%,:,0.102564102564103,default,-2.0
%,;,0.117647058823529,default,-2.0
%,=,0.0916666666666667,default,-2.0
%,?,0.183206106870229,default,-2.0
%,@,0.222772277227723,default,-2.0
%,A,0.274509803921569,default,-2.0
%,B,0.245714285714286,default,-2.0
%,C,0.161073825503356,default,-2.0
%,D,0.268571428571429,default,-2.0
%,E,0.234177215189873,default,-2.0
%,F,0.223684210526316,default,-2.0
%,G,0.248407643312102,default,-2.0
%,H,0.283422459893048,default,-2.0
%,I,0.202797202797203,default,-2.0
%,J,0.188311688311688,default,-2.0
%,K,0.28735632183908,default,-2.0
%,L,0.211920529801325,default,-2.0
%,M,0.270935960591133,default,-2.0
%,N,0.267441860465116,default,-2.0
%,O,0.236024844720497,default,-2.0
%,P,0.25625,default,-2.0
%,Q,0.221590909090909,default,-2.0
%,R,0.301775147928994,default,-2.0
%,S,0.238095238095238,default,-2.0
%,T,0.241610738255034,default,-2.0
%,U,0.204968944099379,default,-2.0
%,V,0.228758169934641,default,-2.0
%,W,0.296875,default,-2.0
%,X,0.284810126582278,default,-2.0
%,Y,0.25,default,-2.0
%,Z,0.227272727272727,default,-2.0
%,\,0.118110236220472,default,-2.0
%,^,0.201680672268908,default,-2.0
%,_,0.0701754385964912,default,-2.0
%,`,0.0625,default,-2.0
%,a,0.226027397260274,default,-2.0
%,b,0.234177215189873,default,-2.0
%,c,0.183823529411765,default,-2.0
%,d,0.237179487179487,default,-2.0
%,e,0.181818181818182,default,-2.0
%,f,0.202898550724638,default,-2.0
%,g,0.23780487804878,default,-2.0
%,h,0.278481012658228,default,-2.0
%,i,0.1875,default,-2.0
%,j,0.175182481751825,default,-2.0
%,k,0.232704402515723,default,-2.0
%,l,0.18796992481203,default,-2.0
%,m,0.216216216216216,default,-2.0
%,n,0.213333333333333,default,-2.0
%,o,0.213793103448276,default,-2.0
%,p,0.233128834355828,default,-2.0
%,q,0.213414634146341,default,-2.0
%,r,0.17910447761194,default,-2.0
%,s,0.207407407407407,default,-2.0
%,t,0.207407407407407,default,-2.0
%,u,0.246666666666667,default,-2.0
%,v,0.20863309352518,default,-2.0
%,w,0.251497005988024,default,-2.0
%,x,0.209459459459459,default,-2.0
%,y,0.228187919463087,default,-2.0
%,z,0.207142857142857,default,-2.0
%,~,0.129310344827586,default,-2.0
%,°,0.162393162393162,default,-2.0
%,é,0.187919463087248,default,-2.0
%,—,0.0975609756097561,default,-2.0
%,‘,0.087719298245614,default,-2.0
%,’,0.087719298245614,default,-2.0
%,“,0.15,default,-2.0
%,”,0.161016949152542,default,-2.0
%,™,0.274647887323944,default,-2.0
&,&,1.0,default,2.0
&,',0.0952380952380952,default,-2.0
&,(,0.204724409448819,default,-2.0
&,),0.193798449612403,default,-2.0
&,*,0.186991869918699,default,-2.0
&,+,0.106194690265487,default,-2.0
&,",",0.113207547169811,default,-2.0
&,-,0.0471698113207547,default,-2.0
&,.,0.0571428571428571,default,-2.0
&,/,0.162393162393162,default,-2.0
&,0,0.338129496402878,default,-2.0
&,1,0.204724409448819,default,-2.0
&,2,0.312977099236641,default,-2.0
&,3,0.379032258064516,default,-2.0
&,4,0.259259259259259,default,-2.0
&,5,0.346456692913386,default,-2.0
&,6,0.335820895522388,default,-2.0
&,7,0.212121212121212,default,-2.0
&,8,0.5,default,0.0
&,9,0.380597014925373,default,-2.0
&,:,0.118181818181818,default,-2.0
&,;,0.154545454545455,default,-2.0
&,=,0.0964912280701754,default,-2.0
&,?,0.211382113821138,default,-2.0
&,@,0.248704663212435,default,-2.0
&,A,0.321678321678322,default,-2.0
&,B,0.403973509933775,default,-1.0
&,C,0.274809160305344,default,-2.0
&,D,0.393548387096774,default,-2.0
&,E,0.321678321678322,default,-2.0
&,F,0.285714285714286,default,-2.0
&,G,0.319444444444444,default,-2.0
&,H,0.322033898305085,default,-2.0
&,I,0.238805970149254,default,-2.0
&,J,0.195945945945946,default,-2.0
&,K,0.388535031847134,default,-2.0
&,L,0.282608695652174,default,-2.0
&,M,0.26,default,-2.0
&,N,0.308641975308642,default,-2.0
&,O,0.331034482758621,default,-2.0
&,P,0.308724832214765,default,-2.0
&,Q,0.266666666666667,default,-2.0
&,R,0.417218543046358,default,-1.0
&,S,0.430894308943089,default,-1.0
&,T,0.269503546099291,default,-2.0
&,U,0.253333333333333,default,-2.0
&,V,0.22972972972973,default,-2.0
&,W,0.233502538071066,default,-2.0
&,X,0.322147651006711,default,-2.0
&,Y,0.251700680272109,default,-2.0
&,Z,0.270833333333333,default,-2.0
&,\,0.142857142857143,default,-2.0
&,^,0.201754385964912,default,-2.0
&,_,0.0642201834862385,default,-2.0
&,`,0.0761904761904762,default,-2.0
&,a,0.272058823529412,default,-2.0
&,b,0.285714285714286,default,-2.0
&,c,0.25,default,-2.0
&,d,0.289655172413793,default,-2.0
&,e,0.244274809160305,default,-2.0
&,f,0.230769230769231,default,-2.0
&,g,0.397163120567376,default,-2.0
&,h,0.298013245033113,default,-2.0
&,i,0.168,default,-2.0
&,j,0.183206106870229,default,-2.0
&,k,0.338028169014085,default,-2.0
&,l,0.1875,default,-2.0
&,m,0.230337078651685,default,-2.0
&,n,0.284671532846715,default,-2.0
&,o,0.26865671641791,default,-2.0
&,p,0.234177215189873,default,-2.0
&,q,0.269736842105263,default,-2.0
&,r,0.216,default,-2.0
&,s,0.246031746031746,default,-2.0
&,t,0.2265625,default,-2.0
&,u,0.283687943262411,default,-2.0
&,v,0.208955223880597,default,-2.0
&,w,0.22289156626506,default,-2.0
&,x,0.320610687022901,default,-2.0
&,y,0.220689655172414,default,-2.0
&,z,0.234848484848485,default,-2.0
&,~,0.136363636363636,default,-2.0
&,°,0.203703703703704,default,-2.0
&,é,0.239130434782609,default,-2.0
&,—,0.0840336134453782,default,-2.0
&,‘,0.0925925925925926,default,-2.0
&,’,0.113207547169811,default,-2.0
&,“,0.157894736842105,default,-2.0
&,”,0.169642857142857,default,-2.0
&,™,0.24113475177305,default,-2.0
',',1.0,default,2.0
',(,0.208333333333333,default,-2.0
',),0.204081632653061,default,-2.0
',*,0.24390243902439,default,-2.0
',+,0.428571428571429,default,-1.0
',",",0.533333333333333,default,0.0
',-,0.230769230769231,default,-2.0
',.,0.6,default,0.0
',/,0.242424242424242,default,-2.0
',0,0.123456790123457,default,-2.0
',1,0.208333333333333,default,-2.0
',2,0.149253731343284,default,-2.0
',3,0.151515151515152,default,-2.0
',4,0.153846153846154,default,-2.0
',5,0.151515151515152,default,-2.0
',6,0.135135135135135,default,-2.0
',7,0.181818181818182,default,-2.0
',8,0.119047619047619,default,-2.0
',9,0.125,default,-2.0
',:,0.333333333333333,default,-2.0
',;,0.391304347826087,default,-2.0
',=,0.153846153846154,default,-2.0
',?,0.2,default,-2.0
',@,0.0735294117647059,default,-2.0
',A,0.119047619047619,default,-2.0
',B,0.0934579439252336,default,-2.0
',C,0.161290322580645,default,-2.0
',D,0.0900900900900901,default,-2.0
',E,0.119047619047619,default,-2.0
',F,0.133333333333333,default,-2.0
',G,0.117647058823529,default,-2.0
',H,0.0775193798449612,default,-2.0
',I,0.163934426229508,default,-2.0
',J,0.138888888888889,default,-2.0
',K,0.0884955752212389,default,-2.0
',L,0.138888888888889,default,-2.0
',M,0.0680272108843537,default,-2.0
',N,0.0934579439252336,default,-2.0
',O,0.113636363636364,default,-2.0
',P,0.111111111111111,default,-2.0
',Q,0.0961538461538462,default,-2.0
',R,0.0917431192660551,default,-2.0
',S,0.125,default,-2.0
',T,0.135135135135135,default,-2.0
',U,0.120481927710843,default,-2.0
',V,0.12987012987013,default,-2.0
',W,0.0740740740740741,default,-2.0
',X,0.0967741935483871,default,-2.0
',Y,0.126582278481013,default,-2.0
',Z,0.128205128205128,default,-2.0
',\,0.205882352941176,default,-2.0
',^,0.2,default,-2.0
',_,0.166666666666667,default,-2.0
',`,0.5,default,0.0
',a,0.147058823529412,default,-2.0
',b,0.119047619047619,default,-2.0
',c,0.2,default,-2.0
',d,0.121951219512195,default,-2.0
',e,0.172413793103448,default,-2.0
',f,0.181818181818182,default,-2.0
',g,0.108695652173913,default,-2.0
',h,0.10989010989011,default,-2.0
',i,0.24390243902439,default,-2.0
',j,0.2,default,-2.0
',k,0.117647058823529,default,-2.0
',l,0.212765957446809,default,-2.0
',m,0.087719298245614,default,-2.0
',n,0.140845070422535,default,-2.0
',o,0.153846153846154,default,-2.0
',p,0.111111111111111,default,-2.0
',q,0.113636363636364,default,-2.0
',r,0.212765957446809,default,-2.0
',s,0.148148148148148,default,-2.0
',t,0.192307692307692,default,-2.0
',u,0.131578947368421,default,-2.0
',v,0.175438596491228,default,-2.0
',w,0.102040816326531,default,-2.0
',x,0.114285714285714,default,-2.0
',y,0.138888888888889,default,-2.0
',z,0.172413793103448,default,-2.0
',~,0.2,default,-2.0
',°,0.25,default,-2.0
',é,0.151515151515152,default,-2.0
',—,0.107142857142857,default,-2.0
',‘,0.4375,default,-1.0
',’,0.533333333333333,default,0.0
',“,0.233333333333333,default,-2.0
',”,0.333333333333333,default,-2.0
',™,0.142857142857143,default,-2.0
(,(,1.0,default,2.0
(,),0.366197183098592,default,-2.0
(,*,0.308823529411765,default,-2.0
(,+,0.236363636363636,default,-2.0
(,",",0.22,default,-2.0
(,-,0.0588235294117647,default,-2.0
(,.,0.125,default,-2.0
(,/,0.274193548387097,default,-2.0
(,0,0.465909090909091,default,-1.0
(,1,0.476923076923077,default,-1.0
(,2,0.197916666666667,default,-2.0
(,3,0.325581395348837,default,-2.0
(,4,0.378048780487805,default,-2.0
(,5,0.212765957446809,default,-2.0
(,6,0.355555555555556,default,-2.0
(,7,0.271604938271605,default,-2.0
(,8,0.281553398058252,default,-2.0
(,9,0.267326732673267,default,-2.0
(,:,0.269230769230769,default,-2.0
(,;,0.272727272727273,default,-2.0
(,=,0.0967741935483871,default,-2.0
(,?,0.26027397260274,default,-2.0
(,@,0.202614379084967,default,-2.0
(,A,0.245283018867925,default,-2.0
(,B,0.313559322033898,default,-2.0
(,C,0.41025641025641,default,-1.0
(,D,0.30327868852459,default,-2.0
(,E,0.389473684210526,default,-2.0
(,F,0.430232558139535,default,-1.0
(,G,0.29126213592233,default,-2.0
(,H,0.282608695652174,default,-2.0
(,I,0.513888888888889,default,0.0
(,J,0.428571428571429,default,-1.0
(,K,0.298387096774194,default,-2.0
(,L,0.44578313253012,default,-1.0
(,M,0.211180124223602,default,-2.0
(,N,0.270491803278689,default,-2.0
(,O,0.307692307692308,default,-2.0
(,P,0.366336633663366,default,-2.0
(,Q,0.277310924369748,default,-2.0
(,R,0.308333333333333,default,-2.0
(,S,0.239583333333333,default,-2.0
(,T,0.435294117647059,default,-1.0
(,U,0.364583333333333,default,-2.0
(,V,0.288659793814433,default,-2.0
(,W,0.192307692307692,default,-2.0
(,X,0.238938053097345,default,-2.0
(,Y,0.309278350515464,default,-2.0
(,Z,0.235294117647059,default,-2.0
(,\,0.274193548387097,default,-2.0
(,^,0.25,default,-2.0
(,_,0.0535714285714286,default,-2.0
(,`,0.166666666666667,default,-2.0
(,a,0.274725274725275,default,-2.0
(,b,0.333333333333333,default,-2.0
(,c,0.380281690140845,default,-2.0
(,d,0.326530612244898,default,-2.0
(,e,0.325,default,-2.0
(,f,0.492753623188406,default,-1.0
(,g,0.261261261261261,default,-2.0
(,h,0.287037037037037,default,-2.0
(,i,0.435483870967742,default,-1.0
(,j,0.4,default,-1.0
(,k,0.303921568627451,default,-2.0
(,l,0.484375,default,-1.0
(,m,0.218045112781955,default,-2.0
(,n,0.293478260869565,default,-2.0
(,o,0.298850574712644,default,-2.0
(,p,0.339805825242718,default,-2.0
(,q,0.320388349514563,default,-2.0
(,r,0.397058823529412,default,-2.0
(,s,0.204819277108434,default,-2.0
(,t,0.5625,default,0.0
(,u,0.347826086956522,default,-2.0
(,v,0.346153846153846,default,-2.0
(,w,0.216666666666667,default,-2.0
(,x,0.221052631578947,default,-2.0
(,y,0.263157894736842,default,-2.0
(,z,0.261904761904762,default,-2.0
(,~,0.133333333333333,default,-2.0
(,°,0.19672131147541,default,-2.0
(,é,0.341176470588235,default,-2.0
(,—,0.0447761194029851,default,-2.0
(,‘,0.22,default,-2.0
(,’,0.22,default,-2.0
(,“,0.19047619047619,default,-2.0
(,”,0.193548387096774,default,-2.0
(,™,0.191919191919192,default,-2.0
),),1.0,default,2.0
),*,0.304347826086957,default,-2.0
),+,0.232142857142857,default,-2.0
),",",0.215686274509804,default,-2.0
),-,0.0576923076923077,default,-2.0
),.,0.122448979591837,default,-2.0
),/,0.311475409836066,default,-2.0
),0,0.326530612244898,default,-2.0
),1,0.53968253968254,default,0.0
),2,0.247311827956989,default,-2.0
),3,0.369047619047619,default,-2.0
),4,0.443037974683544,default,-1.0
),5,0.263736263736264,default,-2.0
),6,0.242424242424242,default,-2.0
),7,0.316455696202532,default,-2.0
),8,0.266666666666667,default,-2.0
),9,0.433333333333333,default,-1.0
),:,0.240740740740741,default,-2.0
),;,0.314814814814815,default,-2.0
),=,0.0952380952380952,default,-2.0
),?,0.291666666666667,default,-2.0
),@,0.163522012578616,default,-2.0
),A,0.266666666666667,default,-2.0
),B,0.380530973451327,default,-2.0
),C,0.261363636363636,default,-2.0
),D,0.367521367521368,default,-2.0
),E,0.445652173913043,default,-1.0
),F,0.530864197530864,default,0.0
),G,0.229357798165138,default,-2.0
),H,0.318518518518519,default,-2.0
),I,0.641791044776119,default,0.0
),J,0.531645569620253,default,0.0
